,ID,Timestamp,Type,Occurences,StackFrame0,StackFrame0_Function,StackFrame0_File,StackFrame0_Line,StackFrame1,StackFrame1_Function,StackFrame1_File,StackFrame1_Line,StackFrame2,StackFrame2_Function,StackFrame2_File,StackFrame2_Line,StackFrame3,StackFrame3_Function,StackFrame3_File,StackFrame3_Line,StackFrame4,StackFrame4_Function,StackFrame4_File,StackFrame4_Line,StackFrame5,StackFrame5_Function,StackFrame5_File,StackFrame5_Line,StackFrame6,StackFrame6_Function,StackFrame6_File,StackFrame6_Line,StackFrame7,StackFrame7_Function,StackFrame7_File,StackFrame7_Line,StackFrame8,StackFrame8_Function,StackFrame8_File,StackFrame8_Line,StackFrame9,StackFrame9_Function,StackFrame9_File,StackFrame9_Line,StackFrame10,StackFrame10_Function,StackFrame10_File,StackFrame10_Line,StackFrame11,StackFrame11_Function,StackFrame11_File,StackFrame11_Line,StackFrame12,StackFrame12_Function,StackFrame12_File,StackFrame12_Line,StackFrame13,StackFrame13_Function,StackFrame13_File,StackFrame13_Line,StackFrame14,StackFrame14_Function,StackFrame14_File,StackFrame14_Line,StackFrame15,StackFrame15_Function,StackFrame15_File,StackFrame15_Line,UniqueBugsAtTime,BugDiagnosis
0,10634583597656476836,2041472,flush (unnecessary),129,flush_clwb at nvmbugs/005_nvm_direct/no_fc_lib/pmem.c:394,flush_clwb,nvmbugs/005_nvm_direct/no_fc_lib/pmem.c,394,pmem_flush at nvmbugs/005_nvm_direct/no_fc_lib/pmem.c:437,pmem_flush,nvmbugs/005_nvm_direct/no_fc_lib/pmem.c,437,nvms_flush at nvmbugs/005_nvm_direct/no_fc_lib/nvms_misc.c:113,nvms_flush,nvmbugs/005_nvm_direct/no_fc_lib/nvms_misc.c,113,nvm_flush at nvmbugs/005_nvm_direct/no_fc_lib/nvm_misc.c:349,nvm_flush,nvmbugs/005_nvm_direct/no_fc_lib/nvm_misc.c,349,nvm_create_baseheap at nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c:367,nvm_create_baseheap,nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c,367,nvm_create_rootheap at nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c:176,nvm_create_rootheap,nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c,176,nvm_create_region at nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c:597,nvm_create_region,nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c,597.0,__klee_posix_wrapped_main at nvmbugs/005_nvm_direct/allocs.c:72,__klee_posix_wrapped_main,nvmbugs/005_nvm_direct/allocs.c,72.0,__klee_posix_ctor_stub_insert_point at runtime/POSIX/./klee_init_env.c:491,__klee_posix_ctor_stub_insert_point,runtime/POSIX/./klee_init_env.c,491.0,__user_main at runtime/POSIX/./klee_init_env.c:499,__user_main,runtime/POSIX/./klee_init_env.c,499.0,__uClibc_main at libc/misc/internals/__uClibc_main.c:401,__uClibc_main,libc/misc/internals/__uClibc_main.c,401.0,main,main,,0.0,,,,,,,,,,,,,,,,,1,nvm_create_baseheap at nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c:367
1,10997541761204354442,2044902,flush (never modified),129,flush_clwb at nvmbugs/005_nvm_direct/no_fc_lib/pmem.c:394,flush_clwb,nvmbugs/005_nvm_direct/no_fc_lib/pmem.c,394,pmem_flush at nvmbugs/005_nvm_direct/no_fc_lib/pmem.c:437,pmem_flush,nvmbugs/005_nvm_direct/no_fc_lib/pmem.c,437,nvms_flush at nvmbugs/005_nvm_direct/no_fc_lib/nvms_misc.c:113,nvms_flush,nvmbugs/005_nvm_direct/no_fc_lib/nvms_misc.c,113,nvm_flush at nvmbugs/005_nvm_direct/no_fc_lib/nvm_misc.c:349,nvm_flush,nvmbugs/005_nvm_direct/no_fc_lib/nvm_misc.c,349,nvm_create_baseheap at nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c:367,nvm_create_baseheap,nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c,367,nvm_create_rootheap at nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c:176,nvm_create_rootheap,nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c,176,nvm_create_region at nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c:597,nvm_create_region,nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c,597.0,__klee_posix_wrapped_main at nvmbugs/005_nvm_direct/allocs.c:72,__klee_posix_wrapped_main,nvmbugs/005_nvm_direct/allocs.c,72.0,__klee_posix_ctor_stub_insert_point at runtime/POSIX/./klee_init_env.c:491,__klee_posix_ctor_stub_insert_point,runtime/POSIX/./klee_init_env.c,491.0,__user_main at runtime/POSIX/./klee_init_env.c:499,__user_main,runtime/POSIX/./klee_init_env.c,499.0,__uClibc_main at libc/misc/internals/__uClibc_main.c:401,__uClibc_main,libc/misc/internals/__uClibc_main.c,401.0,main,main,,0.0,,,,,,,,,,,,,,,,,1,nvm_create_baseheap at nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c:367
2,1919883843008708007,2902406,write (unpersisted),1070,nvm_recover at nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c:5301,nvm_recover,nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c,5301,nvm_create_region at nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c:609,nvm_create_region,nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c,609,__klee_posix_wrapped_main at nvmbugs/005_nvm_direct/allocs.c:72,__klee_posix_wrapped_main,nvmbugs/005_nvm_direct/allocs.c,72,__klee_posix_ctor_stub_insert_point at runtime/POSIX/./klee_init_env.c:491,__klee_posix_ctor_stub_insert_point,runtime/POSIX/./klee_init_env.c,491,__user_main at runtime/POSIX/./klee_init_env.c:499,__user_main,runtime/POSIX/./klee_init_env.c,499,__uClibc_main at libc/misc/internals/__uClibc_main.c:401,__uClibc_main,libc/misc/internals/__uClibc_main.c,401,main,main,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,nvm_recover at nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c:5301
3,17980424714424521280,2903481,write (unpersisted),1070,nvm_recover at nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c:5325,nvm_recover,nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c,5325,nvm_create_region at nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c:609,nvm_create_region,nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c,609,__klee_posix_wrapped_main at nvmbugs/005_nvm_direct/allocs.c:72,__klee_posix_wrapped_main,nvmbugs/005_nvm_direct/allocs.c,72,__klee_posix_ctor_stub_insert_point at runtime/POSIX/./klee_init_env.c:491,__klee_posix_ctor_stub_insert_point,runtime/POSIX/./klee_init_env.c,491,__user_main at runtime/POSIX/./klee_init_env.c:499,__user_main,runtime/POSIX/./klee_init_env.c,499,__uClibc_main at libc/misc/internals/__uClibc_main.c:401,__uClibc_main,libc/misc/internals/__uClibc_main.c,401,main,main,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,nvm_recover at nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c:5325
4,2489606626870379658,2904010,write (unpersisted),1070,nvm_recover at nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c:5333,nvm_recover,nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c,5333,nvm_create_region at nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c:609,nvm_create_region,nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c,609,__klee_posix_wrapped_main at nvmbugs/005_nvm_direct/allocs.c:72,__klee_posix_wrapped_main,nvmbugs/005_nvm_direct/allocs.c,72,__klee_posix_ctor_stub_insert_point at runtime/POSIX/./klee_init_env.c:491,__klee_posix_ctor_stub_insert_point,runtime/POSIX/./klee_init_env.c,491,__user_main at runtime/POSIX/./klee_init_env.c:499,__user_main,runtime/POSIX/./klee_init_env.c,499,__uClibc_main at libc/misc/internals/__uClibc_main.c:401,__uClibc_main,libc/misc/internals/__uClibc_main.c,401,main,main,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,nvm_recover at nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c:5333
5,18224136302395460063,2915054,write (unpersisted),1070,nvm_recover at nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c:5351,nvm_recover,nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c,5351,nvm_create_region at nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c:609,nvm_create_region,nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c,609,__klee_posix_wrapped_main at nvmbugs/005_nvm_direct/allocs.c:72,__klee_posix_wrapped_main,nvmbugs/005_nvm_direct/allocs.c,72,__klee_posix_ctor_stub_insert_point at runtime/POSIX/./klee_init_env.c:491,__klee_posix_ctor_stub_insert_point,runtime/POSIX/./klee_init_env.c,491,__user_main at runtime/POSIX/./klee_init_env.c:499,__user_main,runtime/POSIX/./klee_init_env.c,499,__uClibc_main at libc/misc/internals/__uClibc_main.c:401,__uClibc_main,libc/misc/internals/__uClibc_main.c,401,main,main,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,nvm_recover at nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c:5351
6,15136846756230840058,2925551,write (unpersisted),68480,nvm_undo_blk_set at nvmbugs/005_nvm_direct/no_fc_lib/nvm_data0.h:99,nvm_undo_blk_set,nvmbugs/005_nvm_direct/no_fc_lib/nvm_data0.h,99,nvm_recover at nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c:5384,nvm_recover,nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c,5384,nvm_create_region at nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c:609,nvm_create_region,nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c,609,__klee_posix_wrapped_main at nvmbugs/005_nvm_direct/allocs.c:72,__klee_posix_wrapped_main,nvmbugs/005_nvm_direct/allocs.c,72,__klee_posix_ctor_stub_insert_point at runtime/POSIX/./klee_init_env.c:491,__klee_posix_ctor_stub_insert_point,runtime/POSIX/./klee_init_env.c,491,__user_main at runtime/POSIX/./klee_init_env.c:499,__user_main,runtime/POSIX/./klee_init_env.c,499,__uClibc_main at libc/misc/internals/__uClibc_main.c:401,__uClibc_main,libc/misc/internals/__uClibc_main.c,401.0,main,main,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,nvm_recover at nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c:5384
7,8010969679281531238,3001028,flush (never modified),516,flush_clwb at nvmbugs/005_nvm_direct/no_fc_lib/pmem.c:394,flush_clwb,nvmbugs/005_nvm_direct/no_fc_lib/pmem.c,394,pmem_flush at nvmbugs/005_nvm_direct/no_fc_lib/pmem.c:437,pmem_flush,nvmbugs/005_nvm_direct/no_fc_lib/pmem.c,437,nvms_flush at nvmbugs/005_nvm_direct/no_fc_lib/nvms_misc.c:113,nvms_flush,nvmbugs/005_nvm_direct/no_fc_lib/nvms_misc.c,113,nvm_flush at nvmbugs/005_nvm_direct/no_fc_lib/nvm_misc.c:349,nvm_flush,nvmbugs/005_nvm_direct/no_fc_lib/nvm_misc.c,349,nvm_create_region at nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c:616,nvm_create_region,nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c,616,__klee_posix_wrapped_main at nvmbugs/005_nvm_direct/allocs.c:72,__klee_posix_wrapped_main,nvmbugs/005_nvm_direct/allocs.c,72,__klee_posix_ctor_stub_insert_point at runtime/POSIX/./klee_init_env.c:491,__klee_posix_ctor_stub_insert_point,runtime/POSIX/./klee_init_env.c,491.0,__user_main at runtime/POSIX/./klee_init_env.c:499,__user_main,runtime/POSIX/./klee_init_env.c,499.0,__uClibc_main at libc/misc/internals/__uClibc_main.c:401,__uClibc_main,libc/misc/internals/__uClibc_main.c,401.0,main,main,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,7,nvm_create_region at nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c:616
8,18280580578974501789,3049036,flush (unnecessary),43,flush_clwb at nvmbugs/005_nvm_direct/no_fc_lib/pmem.c:394,flush_clwb,nvmbugs/005_nvm_direct/no_fc_lib/pmem.c,394,pmem_flush at nvmbugs/005_nvm_direct/no_fc_lib/pmem.c:437,pmem_flush,nvmbugs/005_nvm_direct/no_fc_lib/pmem.c,437,nvms_flush at nvmbugs/005_nvm_direct/no_fc_lib/nvms_misc.c:113,nvms_flush,nvmbugs/005_nvm_direct/no_fc_lib/nvms_misc.c,113,nvm_flush at nvmbugs/005_nvm_direct/no_fc_lib/nvm_misc.c:349,nvm_flush,nvmbugs/005_nvm_direct/no_fc_lib/nvm_misc.c,349,nvm_undo at nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c:1764,nvm_undo,nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c,1764,nvm_blk_undo at nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c:2856,nvm_blk_undo,nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c,2856,nvm_alloc_blk at nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c:3281,nvm_alloc_blk,nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c,3281.0,nvm_alloc at nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c:1631,nvm_alloc,nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c,1631.0,nvm_create_mutex_array1 at nvmbugs/005_nvm_direct/no_fc_lib/nvm_locks.c:321,nvm_create_mutex_array1,nvmbugs/005_nvm_direct/no_fc_lib/nvm_locks.c,321.0,nvm_create_region at nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c:621,nvm_create_region,nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c,621.0,__klee_posix_wrapped_main at nvmbugs/005_nvm_direct/allocs.c:72,__klee_posix_wrapped_main,nvmbugs/005_nvm_direct/allocs.c,72.0,__klee_posix_ctor_stub_insert_point at runtime/POSIX/./klee_init_env.c:491,__klee_posix_ctor_stub_insert_point,runtime/POSIX/./klee_init_env.c,491.0,__user_main at runtime/POSIX/./klee_init_env.c:499,__user_main,runtime/POSIX/./klee_init_env.c,499.0,__uClibc_main at libc/misc/internals/__uClibc_main.c:401,__uClibc_main,libc/misc/internals/__uClibc_main.c,401.0,main,main,,0.0,,,,,8,nvm_undo at nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c:1764
9,18223777705900647391,3056754,flush (unnecessary),86,flush_clwb at nvmbugs/005_nvm_direct/no_fc_lib/pmem.c:394,flush_clwb,nvmbugs/005_nvm_direct/no_fc_lib/pmem.c,394,pmem_flush at nvmbugs/005_nvm_direct/no_fc_lib/pmem.c:437,pmem_flush,nvmbugs/005_nvm_direct/no_fc_lib/pmem.c,437,nvms_flush at nvmbugs/005_nvm_direct/no_fc_lib/nvms_misc.c:113,nvms_flush,nvmbugs/005_nvm_direct/no_fc_lib/nvms_misc.c,113,nvm_flush at nvmbugs/005_nvm_direct/no_fc_lib/nvm_misc.c:349,nvm_flush,nvmbugs/005_nvm_direct/no_fc_lib/nvm_misc.c,349,nvm_undo at nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c:1764,nvm_undo,nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c,1764,nvm_blk_undo at nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c:2857,nvm_blk_undo,nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c,2857,nvm_alloc_blk at nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c:3281,nvm_alloc_blk,nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c,3281.0,nvm_alloc at nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c:1631,nvm_alloc,nvmbugs/005_nvm_direct/no_fc_lib/nvm_heap.c,1631.0,nvm_create_mutex_array1 at nvmbugs/005_nvm_direct/no_fc_lib/nvm_locks.c:321,nvm_create_mutex_array1,nvmbugs/005_nvm_direct/no_fc_lib/nvm_locks.c,321.0,nvm_create_region at nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c:621,nvm_create_region,nvmbugs/005_nvm_direct/no_fc_lib/nvm_region.c,621.0,__klee_posix_wrapped_main at nvmbugs/005_nvm_direct/allocs.c:72,__klee_posix_wrapped_main,nvmbugs/005_nvm_direct/allocs.c,72.0,__klee_posix_ctor_stub_insert_point at runtime/POSIX/./klee_init_env.c:491,__klee_posix_ctor_stub_insert_point,runtime/POSIX/./klee_init_env.c,491.0,__user_main at runtime/POSIX/./klee_init_env.c:499,__user_main,runtime/POSIX/./klee_init_env.c,499.0,__uClibc_main at libc/misc/internals/__uClibc_main.c:401,__uClibc_main,libc/misc/internals/__uClibc_main.c,401.0,main,main,,0.0,,,,,8,nvm_undo at nvmbugs/005_nvm_direct/no_fc_lib/nvm_transaction.c:1764
