,system,threads,trial_num,num_keys,throughput
0,original,1,0,10000000,358968.352237
1,original,1,1,10000000,360446.659734
2,original,1,2,10000000,361720.546932
3,original,1,3,10000000,360529.11397
4,original,1,4,10000000,363194.916724
5,original,1,5,10000000,359376.471759
6,original,1,6,10000000,361286.203452
7,original,1,7,10000000,358872.185303
8,original,1,8,10000000,359041.816487
9,original,1,9,10000000,358725.438473
10,original,2,0,10000000,559737.509975
11,original,2,1,10000000,575868.584025
12,original,2,2,10000000,605102.160911
13,original,2,3,10000000,568996.841499
14,original,2,4,10000000,567240.521212
15,original,2,5,10000000,604404.939463
16,original,2,6,10000000,568575.944689
17,original,2,7,10000000,569269.802747
18,original,2,8,10000000,567780.403888
19,original,2,9,10000000,570379.008866
20,original,3,0,10000000,747421.414804
21,original,3,1,10000000,746685.017198
22,original,3,2,10000000,740812.517242
23,original,3,3,10000000,747830.95371
24,original,3,4,10000000,743854.515744
25,original,3,5,10000000,783795.86695
26,original,3,6,10000000,804074.017908
27,original,3,7,10000000,769525.438279
28,original,3,8,10000000,790857.622614
29,original,3,9,10000000,791237.519217
30,original,4,0,10000000,812289.551008
31,original,4,1,10000000,817446.532457
32,original,4,2,10000000,822262.392481
33,original,4,3,10000000,834414.665205
34,original,4,4,10000000,1327974.16081
35,original,4,5,10000000,818237.264914
36,original,4,6,10000000,802861.591399
37,original,4,7,10000000,804712.007253
38,original,4,8,10000000,819622.013277
39,original,4,9,10000000,815536.093059
40,original,5,0,10000000,801331.877687
41,original,5,1,10000000,807027.400921
42,original,5,2,10000000,1436759.933938
43,original,5,3,10000000,800385.850011
44,original,5,4,10000000,808619.953393
45,original,5,5,10000000,1409850.626326
46,original,5,6,10000000,801057.58827
47,original,5,7,10000000,799502.389713
48,original,5,8,10000000,1376029.132188
49,original,5,9,10000000,813460.162619
50,original,6,0,10000000,1101297.206967
51,original,6,1,10000000,1098954.47669
52,original,6,2,10000000,1101220.559832
53,original,6,3,10000000,1767467.394203
54,original,6,4,10000000,1764419.942533
55,original,6,5,10000000,1700471.18356
56,original,6,6,10000000,1757669.723664
57,original,6,7,10000000,1776873.072981
58,original,6,8,10000000,1108132.696674
59,original,6,9,10000000,1105003.022736
60,original,7,0,10000000,1056437.087745
61,original,7,1,10000000,1059790.407371
62,original,7,2,10000000,1059008.033529
63,original,7,3,10000000,1066167.87069
64,original,7,4,10000000,1054105.44027
65,original,7,5,10000000,1029913.423418
