,system,threads,trial_num,num_keys,throughput
0,original,1,0,10000000,361919.169045
1,original,1,1,10000000,357267.862616
2,original,1,2,10000000,361422.303746
3,original,1,3,10000000,360008.641647
4,original,1,4,10000000,358695.792143
5,original,1,5,10000000,361252.987201
6,original,1,6,10000000,361889.869964
7,original,1,7,10000000,361479.056626
8,original,1,8,10000000,357558.787402
9,original,1,9,10000000,363172.981325
10,original,1,10,10000000,360647.435719
11,original,1,11,10000000,361639.011649
12,original,1,12,10000000,360504.913087
13,original,1,13,10000000,358388.949923
14,original,1,14,10000000,360771.236546
15,original,1,15,10000000,359167.200449
16,original,1,16,10000000,360019.852935
17,original,1,17,10000000,360523.238913
18,original,1,18,10000000,362449.072734
19,original,1,19,10000000,363034.623846
20,original,1,20,10000000,361023.459629
21,original,1,21,10000000,356812.270574
22,original,1,22,10000000,362194.460902
23,original,1,23,10000000,359468.800013
24,original,1,24,10000000,361649.317626
25,original,1,25,10000000,361688.75518
26,original,1,26,10000000,363601.669426
27,original,1,27,10000000,360553.5651
28,original,1,28,10000000,362886.982224
29,original,1,29,10000000,358672.492847
30,original,1,30,10000000,358300.346412
31,original,1,31,10000000,361434.948793
32,original,1,32,10000000,363286.34055
33,original,1,33,10000000,361413.277709
34,original,1,34,10000000,361286.816933
35,original,1,35,10000000,360312.201875
36,original,1,36,10000000,358257.036526
37,original,1,37,10000000,359044.897487
38,original,1,38,10000000,361929.490996
39,original,1,39,10000000,362369.454139
40,original,2,0,10000000,560387.653763
41,original,2,1,10000000,566435.362786
42,original,2,2,10000000,561334.336625
43,original,2,3,10000000,575287.832323
44,original,2,4,10000000,603899.888858
45,original,2,5,10000000,568350.224228
46,original,2,6,10000000,573940.00169
47,original,2,7,10000000,568123.650067
48,original,2,8,10000000,567722.350162
49,original,2,9,10000000,573396.764012
50,original,2,10,10000000,562269.332521
51,original,2,11,10000000,567810.031659
52,original,2,12,10000000,572528.513208
53,original,2,13,10000000,566355.546798
54,original,2,14,10000000,604497.046971
55,original,2,15,10000000,561221.586333
56,original,2,16,10000000,602001.148137
57,original,2,17,10000000,563167.610564
58,original,2,18,10000000,568674.464748
59,original,2,19,10000000,574834.878681
60,original,2,20,10000000,566368.569897
61,original,2,21,10000000,563869.911377
62,original,2,22,10000000,563797.650768
63,original,2,23,10000000,571026.112225
64,original,2,24,10000000,572363.4863
65,original,2,25,10000000,566043.908932
66,original,2,26,10000000,597603.680952
67,original,2,27,10000000,571578.226939
68,original,2,28,10000000,567044.732401
69,original,2,29,10000000,565986.626189
70,original,2,30,10000000,604886.832327
71,original,2,31,10000000,599633.551944
72,original,2,32,10000000,601623.215533
73,original,2,33,10000000,573032.801314
74,original,2,34,10000000,575127.694164
75,original,2,35,10000000,568012.737572
76,original,2,36,10000000,565405.452533
77,original,2,37,10000000,563754.392281
78,original,2,38,10000000,565826.05285
79,original,2,39,10000000,571036.02495
80,original,3,0,10000000,782539.662045
81,original,3,1,10000000,773464.356133
82,original,3,2,10000000,744064.33835
83,original,3,3,10000000,730165.67021
84,original,3,4,10000000,746204.226993
85,original,3,5,10000000,739811.975307
86,original,3,6,10000000,744262.480538
87,original,3,7,10000000,740891.772901
88,original,3,8,10000000,743650.39686
89,original,3,9,10000000,751120.44637
90,original,3,10,10000000,737786.098693
91,original,3,11,10000000,744339.650519
92,original,3,12,10000000,738183.726991
93,original,3,13,10000000,780883.045975
94,original,3,14,10000000,753591.08761
95,original,3,15,10000000,759915.318077
96,original,3,16,10000000,780669.072429
97,original,3,17,10000000,745495.177653
98,original,3,18,10000000,791925.276465
99,original,3,19,10000000,739623.525708
100,original,3,20,10000000,772789.584157
101,original,3,21,10000000,765776.821237
102,original,3,22,10000000,752670.569264
103,original,3,23,10000000,785587.980001
104,original,3,24,10000000,760316.121196
105,original,3,25,10000000,759837.309714
106,original,3,26,10000000,804392.239031
107,original,3,27,10000000,738229.829697
108,original,3,28,10000000,773210.065092
109,original,3,29,10000000,804441.547025
110,original,3,30,10000000,740574.138988
111,original,3,31,10000000,804816.148604
112,original,3,32,10000000,744392.177361
113,original,3,33,10000000,754208.72983
114,original,3,34,10000000,749281.102246
115,original,3,35,10000000,745207.29245
116,original,3,36,10000000,752683.146062
117,original,3,37,10000000,772647.23701
118,original,3,38,10000000,766825.708875
119,original,3,39,10000000,768349.885639
120,original,4,0,10000000,821995.819
121,original,4,1,10000000,1331688.609122
122,original,4,2,10000000,820962.455335
123,original,4,3,10000000,806027.798287
124,original,4,4,10000000,792206.27467
125,original,4,5,10000000,821009.906223
126,original,4,6,10000000,804457.207784
127,original,4,7,10000000,822969.676201
128,original,4,8,10000000,827379.168098
129,original,4,9,10000000,1373156.331651
130,original,4,10,10000000,807006.429824
131,original,4,11,10000000,823691.950413
132,original,4,12,10000000,821876.714383
133,original,4,13,10000000,825871.242544
134,original,4,14,10000000,1386638.874726
135,original,4,15,10000000,819489.22384
136,original,4,16,10000000,817915.623824
137,original,4,17,10000000,829286.553168
138,original,4,18,10000000,1344891.148545
139,original,4,19,10000000,825750.534983
140,original,4,20,10000000,1332143.995174
141,original,4,21,10000000,825579.558914
142,original,4,22,10000000,823755.188525
143,original,4,23,10000000,829215.380652
144,original,4,24,10000000,823407.295619
145,original,4,25,10000000,818454.311384
146,original,4,26,10000000,808888.062026
147,original,4,27,10000000,809696.012587
148,original,4,28,10000000,816983.585493
149,original,4,29,10000000,818816.602031
150,original,4,30,10000000,824472.589007
151,original,4,31,10000000,809959.259049
152,original,4,32,10000000,1317175.62772
153,original,4,33,10000000,821850.641631
154,original,4,34,10000000,825660.266066
155,original,4,35,10000000,810862.837524
156,original,4,36,10000000,824286.446134
157,original,4,37,10000000,810442.650809
158,original,4,38,10000000,824374.783859
159,original,4,39,10000000,1348062.443331
160,original,5,0,10000000,1415417.348544
161,original,5,1,10000000,801143.391849
162,original,5,2,10000000,805472.18471
163,original,5,3,10000000,818603.518063
164,original,5,4,10000000,1407891.909943
165,original,5,5,10000000,805330.83917
166,original,5,6,10000000,807977.191127
167,original,5,7,10000000,1418456.013466
168,original,5,8,10000000,803279.888177
169,original,5,9,10000000,808970.315886
170,original,5,10,10000000,809436.344145
171,original,5,11,10000000,1382328.587799
172,original,5,12,10000000,1457547.259877
173,original,5,13,10000000,798668.523731
174,original,5,14,10000000,808944.662927
175,original,5,15,10000000,801060.219221
176,original,5,16,10000000,799864.982791
177,original,5,17,10000000,794917.046034
178,original,5,18,10000000,806220.149699
179,original,5,19,10000000,807204.656731
180,original,5,20,10000000,811207.710627
181,original,5,21,10000000,793210.184279
182,original,5,22,10000000,803778.853752
183,original,5,23,10000000,799370.863156
184,original,5,24,10000000,1473233.339094
185,original,5,25,10000000,815093.576818
186,original,5,26,10000000,786064.398798
187,original,5,27,10000000,804813.622469
188,original,5,28,10000000,816277.487328
189,original,5,29,10000000,1464445.532365
190,original,5,30,10000000,806598.817187
191,original,5,31,10000000,798162.948159
192,original,5,32,10000000,813122.760558
193,original,5,33,10000000,807276.858182
194,original,5,34,10000000,808968.614364
195,original,5,35,10000000,797153.969014
196,original,5,36,10000000,797319.221421
197,original,5,37,10000000,802296.364747
198,original,5,38,10000000,809581.952929
199,original,5,39,10000000,1404661.086885
200,original,6,0,10000000,1102186.219432
201,original,6,1,10000000,1101170.114375
202,original,6,2,10000000,1107762.590968
203,original,6,3,10000000,1696257.885479
204,original,6,4,10000000,1090582.114562
205,original,6,5,10000000,1107016.625618
206,original,6,6,10000000,1098576.716963
207,original,6,7,10000000,1104552.401678
208,original,6,8,10000000,1094781.232603
209,original,6,9,10000000,1783606.763223
210,original,6,10,10000000,1758121.201359
211,original,6,11,10000000,1108146.449975
212,original,6,12,10000000,1693543.484015
213,original,6,13,10000000,1105839.329286
214,original,6,14,10000000,1096671.962496
215,original,6,15,10000000,1100588.385557
216,original,6,16,10000000,1100045.145853
217,original,6,17,10000000,1098962.930662
218,original,6,18,10000000,1097978.073378
219,original,6,19,10000000,1103082.873954
220,original,6,20,10000000,1096343.125578
221,original,6,21,10000000,1771119.313755
222,original,6,22,10000000,1745466.935096
223,original,6,23,10000000,1760444.054408
224,original,6,24,10000000,1694117.296277
225,original,6,25,10000000,1096672.082765
226,original,6,26,10000000,1103953.810573
227,original,6,27,10000000,1688662.33795
228,original,6,28,10000000,1088993.175715
